provincia,seccion,idalumno,sector,ambito,ldesemp,mdesemp,lpuntaje,mpuntaje,NSE_puntaje,NSE_nivel,edadA_junio2023,migracion,sobreedad,Nivel_Ed_Madre,Nivel_Ed_Padre,region,clima_escolar
MZA,1,247287,Estatal,Urbano,4,3,550.31573,466.75851,0.005778642,2,2,2,1,4,1,CUYO,2
MZA,2,247266,Estatal,Urbano,3,2,527.24866,455.46713,-0.36903167,2,2,2,1,3,3,CUYO,2
MZA,1,247289,Estatal,Urbano,2,2,421.11813,449.15985,0.59687847,2,2,2,1,7,5,CUYO,2
MZA,1,247290,Estatal,Urbano,3,2,457.72147,444.71057,0.92589754,2,2,2,1,7,7,CUYO,2
MZA,1,247291,Estatal,Urbano,1,1,316.08215,319.18243,1.1706324,3,2,2,1,7,7,CUYO,2
MZA,1,247292,Estatal,Urbano,2,4,443.814,634.57837,-0.19345592,2,2,2,1,5,1,CUYO,2
MZA,1,247293,Estatal,Urbano,1,2,378.72409,458.2001,0.3453176,2,2,2,1,6,7,CUYO,2
MZA,1,247294,Estatal,Urbano,3,1,468.01529,356.44904,0.005930029,2,2,1,1,5,2,CUYO,2
MZA,1,247297,Estatal,Urbano,2,1,408.70834,382.22083,0.013163281,2,2,2,1,5,5,CUYO,2
MZA,1,247298,Estatal,Urbano,1,1,356.02557,347.90314,-0.41664836,2,2,2,1,7,5,CUYO,2
MZA,1,247300,Estatal,Urbano,2,1,418.88806,318.05389,-1.0959225,1,3,2,2,2,6,CUYO,2
MZA,1,247301,Estatal,Urbano,3,3,491.83334,485.94284,-0.32976368,2,2,2,1,5,3,CUYO,2
MZA,1,247302,Estatal,Urbano,3,3,468.08029,582.17755,0.9257462,2,1,2,0,6,6,CUYO,2
MZA,1,247303,Estatal,Urbano,4,3,588.74011,584.10248,1.3385952,3,2,2,1,7,7,CUYO,2
MZA,1,247304,Estatal,Urbano,2,2,429.66409,425.34439,0.35214362,2,2,2,1,5,5,CUYO,2
MZA,1,247305,Estatal,Urbano,2,1,438.42712,392.67868,0.59687847,2,2,2,1,5,5,CUYO,2
MZA,1,247306,Estatal,Urbano,1,2,353.74716,410.14624,-0.84357464,2,2,2,1,4,4,CUYO,2
MZA,1,247307,Estatal,Urbano,1,1,346.49576,378.27698,-0.47645783,2,2,2,1,4,4,CUYO,2
MZA,1,247308,Estatal,Urbano,2,1,442.74503,384.74152,-0.30559167,2,2,2,1,3,3,CUYO,2
MZA,1,247309,Estatal,Urbano,2,2,431.39847,462.73212,0.45347098,2,2,2,1,4,7,CUYO,2
MZA,1,247311,Estatal,Urbano,4,3,568.37244,586.51392,0.60591531,2,2,2,1,6,7,CUYO,2
MZA,2,247267,Estatal,Urbano,2,1,417.05673,347.48859,0.60408783,2,2,2,1,5,5,CUYO,2
MZA,2,247268,Estatal,Urbano,3,1,487.91953,331.96863,0.21895084,2,2,2,1,7,5,CUYO,2
MZA,2,247269,Estatal,Urbano,2,4,436.70349,592.50525,0.43612504,2,2,2,1,5,5,CUYO,2
MZA,2,247270,Estatal,Urbano,3,3,457.6196,516.47607,-0.42076427,2,3,2,2,3,3,CUYO,2
MZA,2,247271,Estatal,Urbano,3,4,503.55588,592.66614,-1.4858894,1,2,2,1,3,5,CUYO,2
MZA,2,247276,Estatal,Urbano,3,3,506.3226,563.97852,-0.28780213,2,3,2,2,5,5,CUYO,2
MZA,2,247277,Estatal,Urbano,3,4,546.95331,592.66614,0.79626447,2,2,2,1,5,6,CUYO,2
MZA,2,247278,Estatal,Urbano,3,4,524.6842,607.56775,0.31226,2,2,-9,1,6,3,CUYO,2
MZA,2,247279,Estatal,Urbano,1,3,373.737,475.98221,-0.98439723,2,2,2,1,4,6,CUYO,2
MZA,2,247280,Estatal,Urbano,3,2,482.58676,431.71585,0.45710883,2,2,2,1,4,2,CUYO,2
MZA,2,247281,Estatal,Urbano,1,3,296.10126,495.52719,0.94005531,2,1,2,0,7,6,CUYO,2
MZA,2,247282,Estatal,Urbano,2,3,442.47821,511.63715,-0.20753309,2,2,2,1,4,2,CUYO,2
MZA,2,247283,Estatal,Urbano,3,4,524.65118,592.66614,-0.088567585,2,2,2,1,4,5,CUYO,2
MIS,1,120074,Estatal,Urbano,3,3,528.46313,554.44885,0.47089508,2,2,2,1,7,5,NEA,1
MIS,1,120075,Estatal,Urbano,2,2,438.41837,420.85159,-0.83405566,2,2,2,1,3,5,NEA,1
MIS,1,120076,Estatal,Urbano,1,2,388.22269,447.20004,-1.6100988,1,2,2,1,2,3,NEA,1
MIS,1,120077,Estatal,Urbano,3,1,447.79483,388.3483,-0.99084461,2,2,2,1,5,5,NEA,1
MIS,1,120078,Estatal,Urbano,1,1,385.61911,353.55673,-0.749632,2,2,2,1,2,2,NEA,1
MIS,1,120079,Estatal,Urbano,2,1,431.75989,397.16742,-1.5032353,1,2,2,1,4,3,NEA,1
MIS,1,120080,Estatal,Urbano,1,1,373.1066,400.57263,-0.26997212,2,2,2,1,5,5,NEA,1
MIS,1,120082,Estatal,Urbano,3,1,490.44638,366.74893,0.90464973,2,2,2,1,3,7,NEA,1
MIS,1,120085,Estatal,Urbano,2,2,429.13797,442.03546,-0.36903167,2,2,-9,1,3,3,NEA,1
MIS,1,120086,Estatal,Urbano,1,2,381.35403,426.07071,-0.20753309,2,2,2,1,4,2,NEA,1
SFE,1,350349,Estatal,Rural,4,3,605.08661,551.27667,0.25066489,2,2,2,1,5,2,CENTRO,2
SFE,1,350351,Estatal,Rural,3,2,483.67355,434.4043,-0.014973185,2,2,2,1,5,5,CENTRO,2
SFE,1,350352,Estatal,Rural,3,1,472.64063,345.33096,-1.7114261,1,3,2,2,3,1,CENTRO,2
SFE,1,350353,Estatal,Rural,3,2,515.43396,448.84418,-1.242982,1,2,2,1,2,3,CENTRO,2
SFE,1,350354,Estatal,Rural,3,2,451.75858,429.75793,-0.85082573,2,3,2,2,2,3,CENTRO,2
SFE,1,794840,Estatal,Rural,2,2,445.02737,457.10092,0.35199222,2,2,2,1,4,4,CENTRO,3
SFE,1,794841,Estatal,Rural,1,1,318.14487,380.57516,0.29631659,2,2,2,1,7,3,CENTRO,3
SFE,1,794842,Estatal,Rural,2,3,440.39899,477.07565,0.4322626,2,2,2,1,7,4,CENTRO,3
SFE,1,794843,Estatal,Rural,2,2,418.28979,409.80685,0.59687847,2,3,2,2,5,5,CENTRO,3
SFE,1,794844,Estatal,Rural,3,2,454.79004,458.33115,-0.38266656,2,2,2,1,1,1,CENTRO,3
SFE,1,794846,Estatal,Rural,3,3,495.47412,535.47229,-0.94309336,2,2,2,1,3,5,CENTRO,3
SFE,1,794847,Estatal,Rural,2,3,395.94348,507.19031,-0.92118919,2,2,-9,1,4,5,CENTRO,3
SFE,1,794848,Estatal,Rural,3,1,461.14011,384.04495,0.43597367,2,2,2,1,5,5,CENTRO,3
SFE,1,794850,Estatal,Rural,4,3,581.68024,489.4827,0.35214362,2,2,2,1,5,5,CENTRO,3
SFE,1,794851,Estatal,Rural,3,3,489.73566,541.51135,0.17716159,2,2,2,1,3,5,CENTRO,3
SFE,1,794852,Estatal,Rural,1,3,385.98346,536.66473,0.069008231,2,2,2,1,5,5,CENTRO,3
SFE,1,794854,Estatal,Rural,2,2,417.32578,458.96692,-0.71472842,2,3,2,2,3,5,CENTRO,3
SFE,1,780598,Estatal,Urbano,2,2,435.92178,452.49707,0.93280417,2,2,2,1,5,5,CENTRO,2
SFE,1,780597,Estatal,Urbano,3,2,483.57571,408.22311,0.88749701,2,5,1,4,7,7,CENTRO,2
SFE,1,780596,Estatal,Urbano,4,3,574.76007,573.39001,-0.26711062,2,2,2,1,2,3,CENTRO,2
SFE,1,780599,Estatal,Urbano,4,3,577.80652,578.71661,0.38053,2,2,2,1,7,4,CENTRO,2
SFE,1,780600,Estatal,Urbano,1,3,328.38889,472.74509,0.12074084,2,2,-9,1,5,5,CENTRO,2
SFE,1,780601,Estatal,Urbano,1,2,338.24741,438.51981,0.59687847,2,2,2,1,5,5,CENTRO,2
SFE,1,780602,Estatal,Urbano,2,1,420.42639,373.77618,0.90840024,2,2,2,1,7,4,CENTRO,2
SFE,1,780603,Estatal,Urbano,2,2,392.95786,418.50641,-0.4911108,2,2,2,1,5,5,CENTRO,2
SFE,1,780604,Estatal,Urbano,1,3,358.35681,516.06451,-1.1959566,1,3,2,2,7,7,CENTRO,2
SFE,1,780605,Estatal,Urbano,2,2,390.67291,424.56296,0.59687847,2,2,2,1,5,5,CENTRO,2
SFE,1,780606,Estatal,Urbano,1,1,343.06918,379.83331,-0.049973898,2,2,2,1,7,7,CENTRO,2
SFE,1,780607,Estatal,Urbano,2,1,390.15921,394.74609,0.97124642,2,2,2,1,7,6,CENTRO,2
SFE,1,780608,Estatal,Urbano,4,2,581.0155,465.86081,-0.18312919,2,2,2,1,2,3,CENTRO,2
SFE,1,780609,Estatal,Urbano,4,3,550.69183,520.28778,0.14972091,2,3,-9,2,7,2,CENTRO,2
SFE,1,780610,Estatal,Urbano,2,2,442.63101,427.63663,-0.092279956,2,2,2,1,3,2,CENTRO,2
SFE,1,780611,Estatal,Urbano,3,4,535.59705,599.00977,0.63164848,2,2,2,1,7,5,CENTRO,2
SFE,1,780612,Estatal,Urbano,1,2,374.02002,459.97174,-0.040012609,2,2,2,1,5,5,CENTRO,2
SFE,1,780613,Estatal,Urbano,4,3,569.60785,542.52643,0.4322626,2,2,2,1,7,4,CENTRO,2
SFE,1,780614,Estatal,Urbano,3,3,496.55786,543.00641,0.33479771,2,2,2,1,6,3,CENTRO,2
SFE,1,780615,Estatal,Urbano,2,3,395.98853,476.40942,0.43307033,2,1,2,0,5,5,CENTRO,2
SFE,1,780616,Estatal,Urbano,2,2,418.45224,426.42859,0.35214362,2,2,2,1,5,5,CENTRO,2
SFE,1,780617,Estatal,Urbano,2,3,429.70517,489.52191,0.12133456,2,2,2,1,5,3,CENTRO,2
SFE,1,780619,Estatal,Urbano,2,1,409.97836,309.84601,0.23673908,2,2,2,1,5,4,CENTRO,2
SFE,1,780620,Estatal,Urbano,3,3,467.29385,487.68076,-0.1241454,2,2,2,1,4,4,CENTRO,2
SFE,2,780628,Estatal,Urbano,1,1,352.56396,368.77304,0.88726509,2,2,1,1,7,7,CENTRO,2
SFE,2,780630,Estatal,Urbano,3,2,498.15967,460.35812,0.68085986,2,2,2,1,5,5,CENTRO,2
SFE,2,780631,Estatal,Urbano,4,2,631.41583,465.20844,1.2546139,3,2,2,1,7,7,CENTRO,2
SFE,2,780632,Estatal,Urbano,4,3,579.0556,577.47876,0.91166896,2,3,2,2,5,7,CENTRO,2
SFE,2,780633,Estatal,Urbano,4,3,641.86432,531.4964,0.35214362,2,2,2,1,5,5,CENTRO,2
SFE,2,780634,Estatal,Urbano,3,1,460.70276,332.60266,1.0622859,3,2,2,1,6,7,CENTRO,2
SFE,2,780635,Estatal,Urbano,1,3,304.62427,487.5874,-0.22161031,2,2,2,1,3,3,CENTRO,2
SFE,2,780637,Estatal,Urbano,2,1,431.41525,404.20328,-0.46649656,2,3,2,2,2,2,CENTRO,2
SFE,2,780638,Estatal,Urbano,1,1,377.87634,314.26563,1.4225767,3,2,2,1,7,7,CENTRO,2
SFE,2,780639,Estatal,Urbano,3,2,512.50861,425.43649,0.26816222,2,2,2,1,5,5,CENTRO,2
SFE,2,780640,Estatal,Urbano,1,1,385.05783,324.73172,0.28933918,2,2,2,1,7,7,CENTRO,2
SFE,2,780642,Estatal,Urbano,2,2,403.07834,413.77435,-0.2369774,2,2,2,1,6,4,CENTRO,2
SFE,2,780643,Estatal,Urbano,3,3,486.51135,534.47418,-1.5575404,1,2,2,1,2,2,CENTRO,2
SFE,2,780644,Estatal,Urbano,3,3,530.69879,490.79114,-0.34697613,2,2,2,1,5,4,CENTRO,2
SFE,2,780645,Estatal,Urbano,2,1,410.97278,400.74783,0.4256469,2,2,2,1,7,2,CENTRO,2
SFE,2,780646,Estatal,Urbano,3,4,535.8313,594.62122,0.077661701,2,2,2,1,5,5,CENTRO,2
SFE,2,780647,Estatal,Urbano,2,2,396.74988,446.88135,-0.009588452,2,2,2,1,7,2,CENTRO,2
SFE,2,780648,Estatal,Urbano,4,3,622.00366,499.90878,-0.61376655,2,2,2,1,3,3,CENTRO,2
SFE,2,780649,Estatal,Urbano,2,3,424.81616,482.41733,0.066688128,2,3,2,2,7,2,CENTRO,2
SFE,2,780650,Estatal,Urbano,1,1,374.34653,285.32385,0.19064507,2,3,1,2,4,6,CENTRO,2
SFE,2,780651,Estatal,Urbano,2,1,390.61569,374.04456,0.02312457,2,2,2,1,3,3,CENTRO,2
SFE,2,780652,Estatal,Urbano,2,3,443.99493,537.42218,-0.22451359,2,2,2,1,4,4,CENTRO,2
SFE,2,780654,Estatal,Urbano,3,2,470.69205,421.16003,-1.5141773,1,2,1,1,2,4,CENTRO,2
SFE,2,780655,Estatal,Urbano,2,2,420.34201,457.11023,0.90840024,2,2,2,1,7,4,CENTRO,2
SFE,3,780658,Estatal,Urbano,1,1,355.41434,305.39008,0.28933918,2,4,2,3,7,4,CENTRO,2
SFE,3,780660,Estatal,Urbano,1,1,385.36258,401.94763,-1.387831,1,2,2,1,4,4,CENTRO,2
SFE,3,780661,Estatal,Urbano,2,2,426.7226,446.53815,-0.8231138,2,2,2,1,5,5,CENTRO,2
SFE,3,780662,Estatal,Urbano,3,3,465.62354,567.98401,-1.1136518,1,2,2,1,2,2,CENTRO,2
SFE,3,780664,Estatal,Urbano,3,3,534.62695,477.1543,0.51304847,2,2,2,1,6,6,CENTRO,2
SFE,3,780666,Estatal,Urbano,3,3,520.30945,524.35748,0.2051646,2,2,2,1,4,2,CENTRO,2
SFE,3,780667,Estatal,Urbano,3,3,459.55264,513.0827,0.84882277,2,2,2,1,5,5,CENTRO,2
SFE,3,780668,Estatal,Urbano,4,3,569.49872,557.16278,0.59687847,2,2,1,1,5,5,CENTRO,2
SFE,3,780669,Estatal,Urbano,3,3,479.57718,472.53946,-1.9513084,1,2,2,1,3,3,CENTRO,2
SFE,3,780670,Estatal,Urbano,3,3,526.32593,520.26459,0.32269934,2,2,2,1,7,7,CENTRO,2
SFE,3,780672,Estatal,Urbano,4,3,589.33405,495.40451,0.92589754,2,2,-9,1,7,7,CENTRO,2
SFE,3,780673,Estatal,Urbano,3,1,485.27313,342.30673,-0.28224573,2,2,2,1,5,5,CENTRO,2
SFE,3,780674,Estatal,Urbano,2,4,390.84756,600.1333,-0.61391795,2,1,2,0,2,2,CENTRO,2
SFE,3,780675,Estatal,Urbano,3,2,528.76709,447.11237,-0.12028296,2,3,2,2,2,5,CENTRO,2
SFE,3,780676,Estatal,Urbano,4,3,626.1662,543.79724,-0.12399404,2,2,2,1,5,5,CENTRO,2
SFE,3,780678,Estatal,Urbano,3,3,493.07468,495.96426,-1.3627914,1,2,2,1,4,4,CENTRO,2
SFE,3,780679,Estatal,Urbano,4,3,622.97809,476.40149,0.5796839,2,2,2,1,7,4,CENTRO,2
SFE,3,780680,Estatal,Urbano,3,3,491.79178,526.47705,1.086651,3,2,2,1,7,7,CENTRO,2
SFE,3,780681,Estatal,Urbano,2,2,442.6825,452.62814,-0.12399404,2,2,2,1,5,5,CENTRO,2
SFE,3,780684,Estatal,Urbano,4,4,628.26495,631.53259,-0.61376655,2,2,2,1,3,3,CENTRO,2
SFE,3,780685,Estatal,Urbano,4,3,671.62488,535.47437,-0.48016888,2,2,2,1,7,4,CENTRO,2
SFE,3,780686,Estatal,Urbano,2,2,413.0701,420.38043,0.066688128,2,2,-9,1,7,2,CENTRO,2
SFE,3,780687,Estatal,Urbano,2,2,437.67047,419.64282,0.68085986,2,2,2,1,5,5,CENTRO,2
SDE,1,73653,Estatal,Rural,4,4,730.15424,615.55438,-0.51797569,2,2,2,1,7,2,NOA,3
SDE,1,73654,Estatal,Rural,4,4,727.04358,657.31915,-2.7793202,1,2,2,1,3,2,NOA,3
SDE,1,73657,Estatal,Rural,4,4,730.15424,628.3501,-2.1678138,1,2,2,1,3,3,NOA,3
TUC,1,41513,Estatal,Rural,2,1,436.26801,391.87509,0.068221338,2,2,2,1,2,5,NOA,2
TUC,1,41516,Estatal,Rural,2,2,422.47366,408.4826,-0.66176659,2,2,-9,1,5,2,NOA,2
TUC,1,41514,Estatal,Rural,4,3,676.18671,535.7616,0.5337413,2,2,2,1,7,7,NOA,2
TUC,1,41515,Estatal,Rural,3,3,511.46933,496.66049,0.94643903,2,2,2,1,7,7,NOA,2
TUC,1,41517,Estatal,Rural,2,1,440.10712,398.3522,0.69449478,2,2,-9,1,7,7,NOA,2
TUC,1,41518,Estatal,Rural,3,3,514.20178,469.39697,-0.85865283,2,2,2,1,2,2,NOA,2
TUC,1,41519,Estatal,Rural,4,3,568.75787,584.62866,-0.053798851,2,3,2,2,2,2,NOA,2
TUC,1,41521,Estatal,Rural,1,1,377.99564,395.15778,-1.4409941,1,3,-9,2,5,5,NOA,2
TUC,1,41522,Estatal,Rural,1,1,366.70541,394.45325,-0.7291711,2,2,2,1,3,2,NOA,2
TUC,1,41523,Estatal,Rural,2,1,417.10681,344.97995,-0.040163994,2,2,2,1,4,4,NOA,2
TUC,1,41524,Estatal,Rural,3,2,500.54926,457.68036,-1.003653,2,2,2,1,3,2,NOA,2
TUC,1,41525,Estatal,Rural,3,3,467.65182,490.59216,-0.83361334,2,3,2,2,2,2,NOA,2
TUC,1,41527,Estatal,Rural,2,1,428.89847,343.60388,-0.2490689,2,2,2,1,7,7,NOA,2
TUC,1,41529,Estatal,Rural,2,1,399.36731,361.61108,-1.0740914,1,2,2,1,7,7,NOA,2
TUC,1,41530,Estatal,Rural,1,1,372.99594,329.11447,-0.36447346,2,2,-9,1,5,1,NOA,2
TUC,1,41532,Estatal,Rural,3,3,528.13135,478.48047,0.10725737,2,2,2,1,4,4,NOA,2
TUC,1,41533,Estatal,Rural,3,1,458.25925,386.6532,0.86245757,2,2,2,1,7,7,NOA,2
TUC,1,41534,Estatal,Rural,3,1,547.10168,361.44983,-0.043067299,2,2,2,1,5,5,NOA,2
TUC,1,41535,Estatal,Rural,2,1,409.51425,359.97461,-0.97322333,2,2,2,1,7,7,NOA,2
TUC,1,41536,Estatal,Rural,3,1,484.66644,322.92667,-0.063608766,2,2,2,1,5,5,NOA,2
TUC,1,41537,Estatal,Rural,3,3,494.41238,485.2316,-0.043067299,2,3,-9,2,5,5,NOA,2
TUC,1,41538,Estatal,Rural,3,3,477.98718,478.48047,0.26801082,2,2,2,1,4,4,NOA,2
TUC,1,41539,Estatal,Rural,2,1,396.62683,339.91742,-0.43095756,2,2,2,1,5,4,NOA,2
TUC,1,41540,Estatal,Rural,2,1,410.49747,378.47742,-0.98088336,2,3,-9,2,3,3,NOA,2
TUC,2,41605,Estatal,Rural,1,1,381.19672,325.96179,0.84882277,2,2,-9,1,5,5,NOA,2
TUC,2,41606,Estatal,Rural,3,2,474.11392,448.95483,0.029740224,2,3,2,2,3,5,NOA,2
TUC,2,41607,Estatal,Rural,2,2,417.25983,459.12283,-0.44595507,2,3,2,2,2,2,NOA,2
TUC,2,41608,Estatal,Rural,2,1,436.19647,391.10019,0.11416397,2,1,1,0,2,2,NOA,2
TUC,2,41609,Estatal,Rural,3,3,480.94568,474.52585,0.26824281,2,2,2,1,4,5,NOA,2
TUC,2,41610,Estatal,Rural,1,2,383.04547,437.05276,0.020372653,2,2,2,1,5,5,NOA,2
TUC,2,41612,Estatal,Rural,3,3,483.6188,514.32953,-0.040012609,2,2,2,1,5,5,NOA,2
TUC,2,41613,Estatal,Rural,1,1,338.42093,381.88531,0.68085986,2,2,2,1,5,5,NOA,2
TUC,2,41614,Estatal,Rural,1,2,290.00052,418.06747,-0.58190107,2,2,2,1,2,1,NOA,2
TUC,2,41615,Estatal,Rural,4,3,630.62488,555.01672,1.2546139,3,2,2,1,7,7,NOA,2
TUC,2,41616,Estatal,Rural,3,3,456.33096,467.96423,-0.51926517,2,2,1,1,4,7,NOA,2
TUC,2,41617,Estatal,Rural,2,1,399.99908,364.02335,-1.5645987,1,2,2,1,3,3,NOA,2
TUC,2,41618,Estatal,Rural,3,1,473.3533,367.7966,0.040914122,2,2,2,1,5,5,NOA,2
TUC,2,41619,Estatal,Rural,1,1,369.81418,330.3602,0.086280964,2,2,2,1,7,2,NOA,2
TUC,2,41620,Estatal,Rural,3,3,529.91064,571.75958,-1.6415219,1,2,2,1,2,2,NOA,2
TUC,2,41621,Estatal,Rural,1,1,349.42206,307.58063,-0.46664792,2,3,2,2,1,1,NOA,2
TUC,2,41622,Estatal,Rural,2,1,394.14038,377.25259,0.043968808,2,2,2,1,5,5,NOA,2
TUC,2,41623,Estatal,Rural,4,2,550.09528,408.22473,-1.1668444,1,2,2,1,2,2,NOA,2
TUC,2,41624,Estatal,Rural,3,2,484.8421,447.53537,-0.22466497,2,2,2,1,3,3,NOA,2
TUC,2,41625,Estatal,Rural,1,3,347.98007,472.17627,-1.5645987,1,2,2,1,3,3,NOA,2
TUC,2,41626,Estatal,Rural,1,2,354.92004,438.37149,-0.90686315,2,2,2,1,5,5,NOA,2
TUC,2,41627,Estatal,Rural,3,2,474.28845,415.32089,-0.96623033,2,2,2,1,3,3,NOA,2
TUC,2,41628,Estatal,Rural,1,2,339.58508,419.32275,-0.38295746,2,2,2,1,3,5,NOA,2
TUC,2,41630,Estatal,Rural,2,2,424.07932,409.12326,-0.24656913,2,2,2,1,2,3,NOA,2
TUC,2,41631,Estatal,Rural,1,1,319.13205,330.8223,-2.0113282,1,2,2,1,2,7,NOA,2
TUC,2,41632,Estatal,Rural,4,3,649.48047,503.15778,0.28885505,2,2,2,1,6,6,NOA,2
TUC,3,41577,Estatal,Rural,2,1,421.29849,384.91852,-1.1974816,1,2,2,1,3,3,NOA,1
TUC,3,41579,Estatal,Rural,2,1,429.80927,378.00125,0.77847612,2,2,2,1,7,7,NOA,1
TUC,3,41580,Estatal,Rural,3,2,451.26056,409.13379,0.13106757,2,2,2,1,2,7,NOA,1
TUC,3,41581,Estatal,Rural,2,1,403.83521,403.59119,0.32960597,2,2,-9,1,5,5,NOA,1
TUC,3,41582,Estatal,Rural,3,1,462.03842,394.91492,0.32960597,2,5,-9,4,5,5,NOA,1
TUC,3,41583,Estatal,Rural,2,1,413.78214,359.90558,0.457302,2,2,2,1,7,5,NOA,1
TUC,3,41584,Estatal,Rural,3,1,451.59161,310.6517,-0.29501155,2,2,1,1,6,5,NOA,1
TUC,3,41585,Estatal,Rural,1,2,388.78513,419.94867,-1.0994231,1,2,2,1,4,2,NOA,1
TUC,3,41586,Estatal,Rural,2,2,397.79956,431.73975,-0.99084461,2,2,2,1,5,5,NOA,1
TUC,3,41587,Estatal,Rural,1,1,363.60684,370.88019,0.81739962,2,2,2,1,5,4,NOA,1
TUC,3,41588,Estatal,Rural,3,3,503.68173,474.9942,1.1077862,3,2,2,1,7,5,NOA,1
TUC,3,41589,Estatal,Rural,3,1,497.37866,384.45886,-0.11693603,2,2,2,1,4,4,NOA,1
TUC,3,41590,Estatal,Rural,1,2,337.38708,415.14481,-1.085346,1,2,2,1,5,2,NOA,1
TUC,3,41591,Estatal,Rural,1,1,357.02066,301.80026,-0.16239455,2,2,2,1,5,5,NOA,1
